,source,target,t
0,,1,1940.0
1,,11,1940.0
2,,13,1940.0
3,,19,1940.0
4,,24,1940.0
5,,25,1940.0
6,,31,1940.0
7,,44,1940.0
8,,49,1940.0
9,,54,1940.0
10,,59,1940.0
11,,65,1940.0
12,,67,1940.0
13,,70,1940.0
14,,71,1940.0
15,,76,1940.0
16,,83,1940.0
17,,89,1940.0
18,,99,1940.0
19,,100,1940.0
20,,109,1940.0
21,,114,1940.0
22,,117,1940.0
23,,119,1940.0
24,,122,1940.0
25,,126,1940.0
26,,132,1940.0
27,,136,1940.0
28,,141,1940.0
29,,150,1940.0
30,,152,1940.0
31,,156,1940.0
32,,159,1940.0
33,,161,1940.0
34,,168,1940.0
35,,169,1940.0
36,,182,1940.0
37,,185,1940.0
38,,188,1940.0
39,,194,1940.0
40,,196,1940.0
41,,203,1940.0
42,,209,1940.0
43,,212,1940.0
44,,215,1940.0
45,,217,1940.0
46,,233,1940.0
47,,234,1940.0
48,,237,1940.0
49,,242,1940.0
50,,245,1940.0
51,,248,1940.0
52,,252,1940.0
53,,257,1940.0
54,,261,1940.0
55,,265,1940.0
56,,271,1940.0
57,,277,1940.0
58,,281,1940.0
59,,285,1940.0
60,,293,1940.0
61,,295,1940.0
62,,302,1940.0
63,,311,1940.0
64,,312,1940.0
65,,318,1940.0
66,,319,1940.0
67,,322,1940.0
68,,325,1940.0
69,,328,1940.0
70,,329,1940.0
71,,332,1940.0
72,,335,1940.0
73,,339,1940.0
74,,342,1940.0
75,,346,1940.0
76,,351,1940.0
77,,353,1940.0
78,,355,1940.0
79,,365,1940.0
80,,372,1940.0
81,,375,1940.0
82,,376,1940.0
83,,384,1940.0
84,,388,1940.0
85,,396,1940.0
86,,401,1940.0
87,,405,1940.0
88,,417,1940.0
89,,421,1940.0
90,,425,1940.0
91,,427,1940.0
92,,431,1940.0
93,,435,1940.0
94,,450,1940.0
95,,459,1940.0
96,,461,1940.0
97,,464,1940.0
98,,469,1940.0
99,,472,1940.0
100,,481,1940.0
101,,488,1940.0
102,,493,1940.0
103,,495,1940.0
104,,500,1940.0
105,,512,1940.0
106,,519,1940.0
107,,522,1940.0
108,,524,1940.0
109,,525,1940.0
110,,528,1940.0
111,,533,1940.0
112,,536,1940.0
113,,544,1940.0
114,,545,1940.0
115,,549,1940.0
116,,554,1940.0
117,,556,1940.0
118,,562,1940.0
119,,568,1940.0
120,,572,1940.0
121,,573,1940.0
122,,582,1940.0
123,,584,1940.0
124,,589,1940.0
125,,594,1940.0
126,,601,1940.0
127,,604,1940.0
128,,609,1940.0
129,,614,1940.0
130,,620,1940.0
131,,627,1940.0
132,,631,1940.0
133,,636,1940.0
134,,640,1940.0
135,,643,1940.0
136,,645,1940.0
137,,657,1940.0
138,,661,1940.0
139,,669,1940.0
140,,670,1940.0
141,,678,1940.0
142,,685,1940.0
143,,697,1940.0
144,,701,1940.0
145,,708,1940.0
146,,712,1940.0
147,,717,1940.0
148,,718,1940.0
149,,720,1940.0
150,,721,1940.0
151,,729,1940.0
152,,731,1940.0
153,,737,1940.0
154,,745,1940.0
155,,747,1940.0
156,,752,1940.0
157,,756,1940.0
158,,757,1940.0
159,,775,1940.0
160,,779,1940.0
161,,784,1940.0
162,,786,1940.0
163,,790,1940.0
164,,795,1940.0
165,,802,1940.0
166,372,373,1940.53846153846
167,657,656,1941.903846153841
168,59,56,1943.1730769230683
169,302,304,1943.8846153846048
170,13,15,1943.9230769230662
171,661,660,1944.2307692307577
172,302,300,1944.480769230757
173,302,303,1944.692307692295
174,302,305,1944.7692307692178
175,302,307,1944.7692307692178
176,302,306,1945.4423076922928
