Year,CBR
1950,38.776
1951,34.849
1952,40.712
1953,38.962
1954,42.425
1955,40.034
1956,40.148
1957,43.21
1958,42.856
1959,42.293
1960,41.589
1961,35.639
1962,39.972
1963,39.952
1964,38.561
1965,37.087
1966,35.441
1967,34.575
1968,35.221
1969,35.077
1970,35.187
1971,35.679
1972,36.371
1973,36.891
1974,35.484
1975,35.086
1976,34.852
1977,34.558
1978,34.253
1979,34.062
1980,33.499
1981,33.428
1982,33.584
1983,33.68
1984,33.319
1985,32.195
1986,30.717
1987,29.23
1988,28.713
1989,29.041
1990,28.896
1991,28.489
1992,27.342
1993,26.094
1994,24.452
1995,22.727
1996,21.012
1997,19.573
1998,18.254
1999,17.591
2000,18.018
2001,18.123
2002,18.095
2003,18.151
2004,17.996
2005,17.369
2006,17.249
2007,17.537
2008,17.664
2009,17.528
2010,17.409
2011,17.588
2012,17.892
2013,17.888
2014,18.671
2015,18.498
2016,17.313
2017,16.764
2018,15.438
2019,15.513
2020,15.234
2021,14.735
2022,14.272
2023,13.831
2024,13.423
2025,13.075
2026,12.796
2027,12.564
2028,12.398
2029,12.291
2030,12.236
2031,12.197
2032,12.191
2033,12.21
2034,12.236
2035,12.258
2036,12.267
2037,12.273
2038,12.229
2039,12.181
2040,12.103
2041,12.013
2042,11.876
2043,11.707
2044,11.537
2045,11.353
2046,11.171
2047,10.977
2048,10.787
2049,10.596
2050,10.427
2051,10.255
2052,10.097
2053,9.955
2054,9.818
2055,9.727
2056,9.668
2057,9.608
2058,9.573
2059,9.561
2060,9.547
2061,9.538
2062,9.529
2063,9.531
2064,9.542
2065,9.543
2066,9.551
2067,9.54
2068,9.536
2069,9.524
2070,9.504
2071,9.478
2072,9.438
2073,9.389
2074,9.346
2075,9.294
2076,9.222
2077,9.161
2078,9.104
2079,9.037
2080,8.969
2081,8.9
2082,8.829
2083,8.781
2084,8.744
2085,8.698
2086,8.656
2087,8.625
2088,8.596
2089,8.584
2090,8.565
2091,8.549
2092,8.549
2093,8.543
2094,8.548
2095,8.551
2096,8.566
2097,8.563
2098,8.555
2099,8.548
2100,8.538
2101,
