Year,CBR
1950,40.964
1951,41.09
1952,41.12
1953,41.076
1954,40.936
1955,40.833
1956,40.64
1957,40.478
1958,40.36
1959,40.01
1960,39.82
1961,39.74
1962,39.674
1963,39.693
1964,39.6
1965,39.492
1966,39.959
1967,39.929
1968,39.812
1969,39.708
1970,39.376
1971,39.25
1972,38.85
1973,38.394
1974,37.666
1975,37.011
1976,36.331
1977,35.568
1978,35.082
1979,34.942
1980,34.663
1981,34.585
1982,34.797
1983,34.631
1984,34.527
1985,34.246
1986,33.597
1987,33.198
1988,31.976
1989,30.576
1990,28.735
1991,28.075
1992,27.017
1993,26.612
1994,24.579
1995,25.612
1996,24.857
1997,23.909
1998,23.151
1999,22.7
2000,21.567
2001,21.266
2002,20.928
2003,21.388
2004,22.136
2005,22.718
2006,23.144
2007,23.088
2008,24.33
2009,22.779
2010,22.178
2011,22.075
2012,22.118
2013,21.894
2014,21.784
2015,21.007
2016,20.27
2017,20.038
2018,19.85
2019,19.694
2020,19.522
2021,19.354
2022,19.079
2023,18.775
2024,18.48
2025,18.159
2026,17.842
2027,17.57
2028,17.31
2029,17.072
2030,16.815
2031,16.582
2032,16.373
2033,16.173
2034,15.979
2035,15.795
2036,15.642
2037,15.507
2038,15.4
2039,15.315
2040,15.24
2041,15.198
2042,15.146
2043,15.102
2044,15.049
2045,14.98
2046,14.897
2047,14.797
2048,14.682
2049,14.556
2050,14.425
2051,14.308
2052,14.231
2053,14.133
2054,14.043
2055,13.953
2056,13.859
2057,13.779
2058,13.694
2059,13.625
2060,13.551
2061,13.476
2062,13.394
2063,13.303
2064,13.24
2065,13.187
2066,13.117
2067,13.044
2068,12.977
2069,12.925
2070,12.877
2071,12.821
2072,12.773
2073,12.725
2074,12.672
2075,12.626
2076,12.578
2077,12.53
2078,12.462
2079,12.431
2080,12.403
2081,12.365
2082,12.338
2083,12.302
2084,12.262
2085,12.222
2086,12.174
2087,12.146
2088,12.101
2089,12.056
2090,12.011
2091,11.971
2092,11.941
2093,11.91
2094,11.881
2095,11.837
2096,11.792
2097,11.771
2098,11.728
2099,11.707
2100,11.686
2101,
